url_length,url_entropy,url_digit_ratio,url_special_ratio,has_https,has_ip,domain_length,domain_entropy,num_subdomains,domain_digit_ratio,num_hyphens,num_underscores,suspicious_tld,domain_has_vowels,path_length,num_path_segments,path_entropy,has_exe,query_length,num_query_params,query_entropy,ttl_normalized,name_server_count,domain_age_days,has_page_rank,has_alexa_rank,has_organization,has_registrant,is_shortened,has_punycode,obfuscated,label,source
0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,csv_phishing
13,3.0269868333592873,0.0,0.46153846153846156,0.0,0.0,5,1.9219280948873623,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,csv_phishing
13,3.0269868333592873,0.0,0.46153846153846156,0.0,0.0,5,1.9219280948873623,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,csv_phishing
28,3.842370993177109,0.0,0.17857142857142858,0.0,0.0,20,3.3086949695628416,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,csv_phishing
13,3.0269868333592873,0.0,0.46153846153846156,0.0,0.0,5,1.9219280948873623,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,csv_phishing
13,2.8731406795131336,0.0,0.46153846153846156,0.0,0.0,5,1.5219280948873621,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,csv_phishing
27,3.6339740759971577,0.5185185185185185,0.3333333333333333,0.0,0.0,19,3.1555650133297184,0,0.7368421052631579,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,csv_phishing
13,3.0269868333592873,0.0,0.46153846153846156,0.0,0.0,5,1.9219280948873623,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,csv_phishing
13,2.5654483718208256,0.0,0.46153846153846156,0.0,0.0,5,1.5219280948873621,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,csv_phishing
25,4.023465189601646,0.12,0.2,0.0,0.0,17,3.572469458770136,0,0.17647058823529413,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,csv_phishing
27,3.6023165585055525,0.5185185185185185,0.3333333333333333,0.0,0.0,19,3.1105780147890156,0,0.7368421052631579,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,csv_phishing
